year_BE,year_CE,month,month_TH,year_month_BE,year_month_CE,benzine_91_ML,benzine_95_ML,benzine_base_type1_ML,benzine_base_type2_ML,kerosene_ML,jet_a1_ML,aviation_mil_ML,diesel_fast_ML,diesel_base_10ppm_ML,diesel_base_50ppm_ML,diesel_base_other_ML,fuel_oil_ML,total_fuels_ML,lpg_propane_Mkg,lpg_butane_Mkg,lpg_lpg_Mkg,lpg_total_Mkg,lpg_export_Mkg,asphalt_Mkg,hsd_ML,nat_gas_Mcubicft,lng_Mcubicft,crude_oil_ML
2551,2008,1,มกราคม,2551-01,2008-01,0.0,0,0.0,0.0,0,7.824,0.272,0,0.0,0.0,0.0,0.0,8.096,0.0,0.0,0.0,0.0,0.0,0.248,0.0,29033.0,0.0,4262.624
2551,2008,2,กุมภาพันธ์,2551-02,2008-02,0.0,0,0.0,0.0,0,0.0,0.246,0,2.448,0.0,0.0,0.0,2.694,0.0,0.0,0.0,0.0,0.0,0.0,41.612,32302.0,0.0,4203.563
2551,2008,3,มีนาคม,2551-03,2008-03,0.0,0,0.0,0.0,0,0.0,0.246,0,6.077,0.0,0.0,58.081,64.404,0.0,0.0,0.0,0.0,0.0,0.021,17.461,36209.0,0.0,4635.347000000001
2551,2008,4,เมษายน,2551-04,2008-04,0.0,0,0.0,0.0,0,0.0,0.338,0,58.512,0.0,0.0,190.446,249.296,10.936,10.548,0.0,21.484,0.0,1.374,34.149,25678.0,0.0,3926.276
2551,2008,5,พฤษภาคม,2551-05,2008-05,0.0,0,0.0,0.0,0,0.0,0.219,0,3.01,0.0,0.0,5.734,8.963,0.0,0.0,0.0,0.0,0.0,2.978,12.641,30752.0,0.0,4317.544000000001
2551,2008,6,มิถุนายน,2551-06,2008-06,0.0,0,0.0,0.0,0,0.0,0.268,0,0.0,0.0,0.0,0.0,0.268,0.0,0.0,0.0,0.0,0.0,1.103,0.0,29703.0,0.0,3689.6142578125
2551,2008,7,กรกฎาคม,2551-07,2008-07,0.0,0,0.0,0.0,0,0.0,0.145,0,0.0,0.0,0.0,0.0,0.145,55.901,52.149,1.888,109.938,0.0,0.332,0.0,32170.0,0.0,3738.786865234375
2551,2008,8,สิงหาคม,2551-08,2008-08,0.0,0,0.0,0.0,0,0.0,0.305,0,0.0,0.0,0.0,0.0,0.305,38.202,29.979,0.0,68.181,0.0,0.104,7.56,32904.0,0.0,4168.89111328125
2551,2008,9,กันยายน,2551-09,2008-09,0.0,0,0.0,0.0,0,36.472,0.356,0,8.314,0.0,0.0,0.0,45.142,35.187,29.824,4.38,69.39099999999999,0.0,0.138,0.0,32835.0,0.0,3310.5810546875
2551,2008,10,ตุลาคม,2551-10,2008-10,0.0,0,0.0,0.0,0,0.0,0.391,0,2.202,0.0,0.0,0.0,2.593,59.052,30.528,0.0,89.58,0.0,0.032,0.0,31728.0,0.0,4145.9609375
2551,2008,11,พฤศจิกายน,2551-11,2008-11,0.0,0,0.0,31.613,0,0.0,0.242,0,3.048,0.0,0.0,0.0,34.903,45.515,47.98099999999999,0.0,93.496,0.0,0.0,0.0,26469.0,0.0,2682.35009765625
